Case #1: 1
1 1 1
Case #2: 4
1 1 1
1 1 2
1 2 1
1 2 2
Case #3: 2
1 1 1
1 1 2
Case #4: 2
1 1 1
1 2 2
Case #5: 3
1 1 1
1 2 2
1 3 3
Case #6: 4
1 1 1
1 2 2
2 1 2
2 2 1
Case #7: 8
1 1 1
1 1 2
1 2 1
1 2 2
2 1 1
2 1 2
2 2 1
2 2 2
Case #8: 18
1 1 1
1 1 2
1 1 3
1 2 1
1 2 2
1 2 3
1 3 1
1 3 2
1 3 3
2 1 1
2 1 2
2 1 3
2 2 1
2 2 2
2 2 3
2 3 1
2 3 2
2 3 3
Case #9: 2
1 1 1
1 1 2
Case #10: 27
1 1 1
1 1 2
1 1 3
1 2 1
1 2 2
1 2 3
1 3 1
1 3 2
1 3 3
2 1 1
2 1 2
2 1 3
2 2 1
2 2 2
2 2 3
2 3 1
2 3 2
2 3 3
3 1 1
3 1 2
3 1 3
3 2 1
3 2 2
3 2 3
3 3 1
3 3 2
3 3 3
Case #11: 6
1 1 1
1 1 2
1 1 3
1 2 1
1 2 2
1 2 3
Case #12: 8
1 1 1
1 1 2
1 2 1
1 2 2
2 1 1
2 1 2
2 2 1
2 2 2
Case #13: 27
1 1 1
1 1 2
1 1 3
1 2 1
1 2 2
1 2 3
1 3 1
1 3 2
1 3 3
2 1 1
2 1 2
2 1 3
2 2 1
2 2 2
2 2 3
2 3 1
2 3 2
2 3 3
3 1 1
3 1 2
3 1 3
3 2 1
3 2 2
3 2 3
3 3 1
3 3 2
3 3 3
Case #14: 1
1 1 1
Case #15: 12
1 1 1
1 1 2
1 1 3
1 2 1
1 2 2
1 2 3
2 1 1
2 1 2
2 1 3
2 2 1
2 2 2
2 2 3
Case #16: 18
1 1 1
1 1 2
1 1 3
1 2 1
1 2 2
1 2 3
1 3 1
1 3 2
1 3 3
2 1 1
2 1 2
2 1 3
2 2 1
2 2 2
2 2 3
2 3 1
2 3 2
2 3 3
Case #17: 8
1 1 1
1 1 2
1 2 1
1 2 2
2 1 1
2 1 2
2 2 1
2 2 2
Case #18: 2
1 1 1
1 1 2
Case #19: 1
1 1 1
Case #20: 12
1 1 1
1 1 2
1 1 3
1 2 1
1 2 2
1 2 3
2 1 1
2 1 2
2 1 3
2 2 1
2 2 2
2 2 3
Case #21: 27
1 1 1
1 1 2
1 1 3
1 2 1
1 2 2
1 2 3
1 3 1
1 3 2
1 3 3
2 1 1
2 1 2
2 1 3
2 2 1
2 2 2
2 2 3
2 3 1
2 3 2
2 3 3
3 1 1
3 1 2
3 1 3
3 2 1
3 2 2
3 2 3
3 3 1
3 3 2
3 3 3
Case #22: 12
1 1 1
1 1 2
1 1 3
1 2 1
1 2 2
1 2 3
2 1 1
2 1 2
2 1 3
2 2 1
2 2 2
2 2 3
Case #23: 27
1 1 1
1 1 2
1 1 3
1 2 1
1 2 2
1 2 3
1 3 1
1 3 2
1 3 3
2 1 1
2 1 2
2 1 3
2 2 1
2 2 2
2 2 3
2 3 1
2 3 2
2 3 3
3 1 1
3 1 2
3 1 3
3 2 1
3 2 2
3 2 3
3 3 1
3 3 2
3 3 3
Case #24: 4
1 1 1
1 1 2
1 2 1
1 2 2
Case #25: 9
1 1 1
1 1 2
1 1 3
1 2 1
1 2 2
1 2 3
1 3 1
1 3 2
1 3 3
Case #26: 1
1 1 1
Case #27: 5
1 1 1
1 2 2
1 3 3
2 1 2
2 2 1
Case #28: 4
1 1 1
1 1 2
1 2 1
1 2 2
Case #29: 4
1 1 1
1 2 2
2 1 2
2 2 1
Case #30: 1
1 1 1
Case #31: 27
1 1 1
1 1 2
1 1 3
1 2 1
1 2 2
1 2 3
1 3 1
1 3 2
1 3 3
2 1 1
2 1 2
2 1 3
2 2 1
2 2 2
2 2 3
2 3 1
2 3 2
2 3 3
3 1 1
3 1 2
3 1 3
3 2 1
3 2 2
3 2 3
3 3 1
3 3 2
3 3 3
Case #32: 9
1 1 1
1 1 2
1 1 3
1 2 1
1 2 2
1 2 3
1 3 1
1 3 2
1 3 3
Case #33: 18
1 1 1
1 1 2
1 1 3
1 2 1
1 2 2
1 2 3
1 3 1
1 3 2
1 3 3
2 1 1
2 1 2
2 1 3
2 2 1
2 2 2
2 2 3
2 3 1
2 3 2
2 3 3
Case #34: 1
1 1 1
Case #35: 7
1 1 1
1 2 2
1 3 3
2 1 2
2 2 1
3 1 3
3 3 1
Case #36: 2
1 1 1
1 1 2
Case #37: 12
1 1 1
1 1 2
1 1 3
1 2 1
1 2 2
1 2 3
2 1 1
2 1 2
2 1 3
2 2 1
2 2 2
2 2 3
Case #38: 4
1 1 1
1 1 2
1 2 1
1 2 2
Case #39: 9
1 1 1
1 1 2
1 1 3
1 2 1
1 2 2
1 2 3
1 3 1
1 3 2
1 3 3
Case #40: 1
1 1 1
Case #41: 12
1 1 1
1 1 2
1 1 3
1 2 1
1 2 2
1 2 3
2 1 1
2 1 2
2 1 3
2 2 1
2 2 2
2 2 3
Case #42: 1
1 1 1
Case #43: 4
1 1 1
1 1 2
1 2 1
1 2 2
Case #44: 6
1 1 1
1 1 2
1 1 3
1 2 1
1 2 2
1 2 3
Case #45: 6
1 1 1
1 1 2
1 1 3
1 2 1
1 2 2
1 2 3
Case #46: 27
1 1 1
1 1 2
1 1 3
1 2 1
1 2 2
1 2 3
1 3 1
1 3 2
1 3 3
2 1 1
2 1 2
2 1 3
2 2 1
2 2 2
2 2 3
2 3 1
2 3 2
2 3 3
3 1 1
3 1 2
3 1 3
3 2 1
3 2 2
3 2 3
3 3 1
3 3 2
3 3 3
Case #47: 12
1 1 1
1 1 2
1 1 3
1 2 1
1 2 2
1 2 3
2 1 1
2 1 2
2 1 3
2 2 1
2 2 2
2 2 3
Case #48: 9
1 1 1
1 1 2
1 1 3
1 2 1
1 2 2
1 2 3
1 3 1
1 3 2
1 3 3
Case #49: 6
1 1 1
1 1 2
1 1 3
1 2 1
1 2 2
1 2 3
Case #50: 18
1 1 1
1 1 2
1 1 3
1 2 1
1 2 2
1 2 3
1 3 1
1 3 2
1 3 3
2 1 1
2 1 2
2 1 3
2 2 1
2 2 2
2 2 3
2 3 1
2 3 2
2 3 3
Case #51: 6
1 1 1
1 1 2
1 1 3
1 2 1
1 2 2
1 2 3
Case #52: 3
1 1 1
1 1 2
1 1 3
Case #53: 3
1 1 1
1 1 2
1 1 3
Case #54: 6
1 1 1
1 1 2
1 1 3
1 2 1
1 2 2
1 2 3
Case #55: 2
1 1 1
1 2 2
Case #56: 2
1 1 1
1 1 2
Case #57: 1
1 1 1
Case #58: 4
1 1 1
1 1 2
1 2 1
1 2 2
Case #59: 18
1 1 1
1 1 2
1 1 3
1 2 1
1 2 2
1 2 3
1 3 1
1 3 2
1 3 3
2 1 1
2 1 2
2 1 3
2 2 1
2 2 2
2 2 3
2 3 1
2 3 2
2 3 3
Case #60: 5
1 1 1
1 1 2
1 2 1
1 2 2
1 3 3
Case #61: 4
1 1 1
1 1 2
1 2 1
1 2 2
Case #62: 6
1 1 1
1 1 2
1 1 3
1 2 1
1 2 2
1 2 3
Case #63: 18
1 1 1
1 1 2
1 1 3
1 2 1
1 2 2
1 2 3
1 3 1
1 3 2
1 3 3
2 1 1
2 1 2
2 1 3
2 2 1
2 2 2
2 2 3
2 3 1
2 3 2
2 3 3
Case #64: 8
1 1 1
1 1 2
1 2 1
1 2 2
2 1 1
2 1 2
2 2 1
2 2 2
Case #65: 8
1 1 1
1 1 2
1 2 1
1 2 2
2 1 1
2 1 2
2 2 1
2 2 2
Case #66: 1
1 1 1
Case #67: 9
1 1 1
1 1 2
1 1 3
1 2 1
1 2 2
1 2 3
1 3 1
1 3 2
1 3 3
Case #68: 4
1 1 1
1 1 2
1 2 1
1 2 2
Case #69: 9
1 1 1
1 1 2
1 1 3
1 2 1
1 2 2
1 2 3
1 3 1
1 3 2
1 3 3
Case #70: 3
1 1 1
1 1 2
1 1 3
Case #71: 2
1 1 1
1 1 2
Case #72: 18
1 1 1
1 1 2
1 1 3
1 2 1
1 2 2
1 2 3
1 3 1
1 3 2
1 3 3
2 1 1
2 1 2
2 1 3
2 2 1
2 2 2
2 2 3
2 3 1
2 3 2
2 3 3
Case #73: 9
1 1 1
1 1 2
1 1 3
1 2 1
1 2 2
1 2 3
1 3 1
1 3 2
1 3 3
Case #74: 9
1 1 1
1 1 2
1 1 3
1 2 1
1 2 2
1 2 3
1 3 1
1 3 2
1 3 3
Case #75: 6
1 1 1
1 1 2
1 1 3
1 2 1
1 2 2
1 2 3
Case #76: 4
1 1 1
1 1 2
1 2 1
1 2 2
Case #77: 18
1 1 1
1 1 2
1 1 3
1 2 1
1 2 2
1 2 3
1 3 1
1 3 2
1 3 3
2 1 1
2 1 2
2 1 3
2 2 1
2 2 2
2 2 3
2 3 1
2 3 2
2 3 3
Case #78: 8
1 1 1
1 1 2
1 2 1
1 2 2
2 1 1
2 1 2
2 2 1
2 2 2
Case #79: 1
1 1 1
Case #80: 14
1 1 1
